Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TIM S A,50409428698,010,105812021,430888724,Rua Major Paula Moreira,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,0,FB,Greenfield,sim,760,116652103257,25,25,65,0,X,40,116652103257,200,-5.79944,-35.20917,G,2023-10-24,1999-11-16,,5a1432afed835,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,430888724,Rua Major Paula Moreira,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,160,FB,Greenfield,sim,760,116652103257,25,25,65,0,X,40,116652103257,200,-5.79944,-35.20917,G,2023-10-24,1999-11-16,,5a1432afede7c,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,430888724,Rua Major Paula Moreira,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,240,FB,Greenfield,sim,760,116652103257,25,25,65,0,X,40,116652103257,200,-5.79944,-35.20917,G,2023-10-24,1999-11-16,,5a1432afee577,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,4739493,Rua Jaguarari,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,0,FB,Greenfield,sim,760,116672103257,25,25,65,0,X,42,116672103257,200,-5.818083,-35.22,G,2023-10-24,1999-11-16,,5a1432d19f9a5,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,4739493,Rua Jaguarari,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,120,FB,Greenfield,sim,760,116672103257,25,25,65,0,X,42,116672103257,200,-5.818083,-35.22,G,2023-10-24,1999-11-16,,5a1432d1a0010,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,4739493,Rua Jaguarari,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,250,FB,Greenfield,sim,760,116672103257,25,25,65,0,X,42,116672103257,200,-5.818083,-35.22,G,2023-10-24,1999-11-16,,5a1432d1a06ba,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,684171503,RUA MESTRE LUCARINO,,RN,2408102,100MG7W,NR,SA-NSA,,3550,3550,140,FB,Greenfield,não,760,116652103257,25,25,65,-7,X,45,116652103257,200,-5.77222,-35.19833,G,2023-02-28,2004-01-14,,5a33a07087bbb,2041-12-08,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,684171503,RUA MESTRE LUCARINO,,RN,2408102,100MG7W,NR,SA-NSA,,3550,3550,240,FB,Greenfield,não,760,116652103257,25,25,65,-7,X,45,116652103257,200,-5.77222,-35.19833,G,2023-02-28,2004-01-14,,5a33a070880cc,2041-12-08,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,684171503,RUA MESTRE LUCARINO,,RN,2408102,100MG7W,NR,SA-NSA,,3550,3550,240,FB,Greenfield,não,760,116652103257,25,25,65,-7,X,45,116652103257,200,-5.77222,-35.19833,G,2023-02-28,2004-01-14,,5a33a070885e3,2041-12-08,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,1001828965,Rua Doutor José Tavares Da Silva,,RN,2408102,100MG7W,NR,SA-NSA,,3550,3550,10,FB,Greenfield,não,760,116672103257,25,25,65,-4,X,40,116672103257,200,-5.853167,-35.222083,G,2024-05-14,2015-07-10,,5b5a3fca140b2,2041-12-08,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,1001828965,Rua Doutor José Tavares Da Silva,,RN,2408102,100MG7W,NR,SA-NSA,,3550,3550,105,FB,Greenfield,não,760,116672103257,25,25,65,-3,X,40,116672103257,200,-5.853167,-35.222083,G,2024-05-14,2015-07-10,,5b5a3fca147d0,2041-12-08,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,1001828965,Rua Doutor José Tavares Da Silva,,RN,2408102,100MG7W,NR,SA-NSA,,3550,3550,190,FB,Greenfield,não,760,116672103257,25,25,65,-4,X,40,116672103257,200,-5.853167,-35.222083,G,2024-05-14,2015-07-10,,5b5a3fca14e24,2041-12-08,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,431377839,Rua Raimundo Chaves,Esquina Com A Av Prudente De Morais,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,30,FB,Greenfield,não,760,116672103257,25,25,65,-2,X,46.5,116672103257,200,-5.831417,-35.217528,G,2023-10-24,1999-11-16,,5b5f1c7c40536,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,431377839,Rua Raimundo Chaves,Esquina Com A Av Prudente De Morais,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,150,FB,Greenfield,não,760,116672103257,25,25,65,-2,X,46.5,116672103257,200,-5.831417,-35.217528,G,2023-10-24,1999-11-16,,5b5f1c7c418fd,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,431377839,Rua Raimundo Chaves,Esquina Com A Av Prudente De Morais,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,300,FB,Greenfield,não,760,116672103257,25,25,65,-2,X,46.5,116672103257,200,-5.831417,-35.217528,G,2023-10-24,1999-11-16,,5b5f1c7c42c87,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,1001785662,Rua Alvorada,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,340,FB,Greenfield,não,760,116672103257,25,25,65,-1,X,42,116672103257,200,-5.773894,-35.255222,G,2023-10-24,2015-07-08,,5bd9ff084462d,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,1001785662,Rua Alvorada,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,145,FB,Greenfield,não,760,116672103257,25,25,65,-1,X,42,116672103257,200,-5.773894,-35.255222,G,2023-10-24,2015-07-08,,5bd9ff0844c84,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,1001785662,Rua Alvorada,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,250,FB,Greenfield,não,760,116672103257,25,25,65,-2,X,42,116672103257,200,-5.773894,-35.255222,G,2023-10-24,2015-07-08,,5bd9ff0845134,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,691986827,Avenida Deodoro Da Fonseca,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,60,FB,Greenfield,não,760,116672103257,25,25,65,-7,X,80,116672103257,200,-5.7825,-35.203028,G,2023-10-24,2010-12-28,,5bfd44eea9a11,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,691986827,Avenida Deodoro Da Fonseca,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,110,FB,Greenfield,não,760,116672103257,25,25,65,-7,X,80,116672103257,200,-5.7825,-35.203028,G,2023-10-24,2010-12-28,,5bfd44eeab143,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,691986827,Avenida Deodoro Da Fonseca,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,200,FB,Greenfield,não,760,116672103257,25,25,65,-7,X,80,116672103257,200,-5.7825,-35.203028,G,2023-10-24,2010-12-28,,5bfd44eeab78d,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,431378037,AVENIDA SENADOR SALGADO FILHO,,RN,2408102,100MG7W,NR,SA-NSA,,3550,3550,0,FB,Indoor,não,167,0,4,0,0,0,V,3,116672103257,0.25,-5.841944,-35.211389,E,2024-01-12,1999-11-16,,5cf96745ec9ab,2041-12-08,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,695339494,Avenida Do Sol,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,100,FB,Greenfield,sim,760,116672103257,25,25,65,-2,X,40,116672103257,200,-5.838889,-35.223917,G,2023-10-24,2011-09-12,,5d1a688a9e4fc,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,695339494,Avenida Do Sol,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,230,FB,Greenfield,sim,760,116672103257,25,25,65,-2,X,40,116672103257,200,-5.838889,-35.223917,G,2023-10-24,2011-09-12,,5d1a688a9fa25,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,695339494,Avenida Do Sol,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,350,FB,Greenfield,sim,760,116672103257,25,25,65,0,X,40,116672103257,200,-5.838889,-35.223917,G,2023-10-24,2011-09-12,,5d1a688aa0249,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,684171481,Rua Severina Ferreira De Medeiros,-,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,0,FB,Greenfield,não,760,064101600762,13.42,28,65.2,-2,X,43.8,079372003257,40,-5.869194,-35.19,G,2023-10-24,2004-01-14,,5e0a09d158343,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,684171481,Rua Severina Ferreira De Medeiros,-,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,150,FB,Greenfield,não,760,064101600762,13.42,28,65.2,-1,X,43.8,079372003257,40,-5.869194,-35.19,G,2023-10-24,2004-01-14,,5e0a09d158ad6,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,684171481,Rua Severina Ferreira De Medeiros,-,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,270,FB,Greenfield,não,760,064101600762,13.42,28,65.2,-1,X,43.8,048811903257,40,-5.869194,-35.19,G,2023-10-24,2004-01-14,,5e0a09d159282,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,684917700,Avenida Theodorico Guilherme,-,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,40,FB,Greenfield,não,760,056001603518,16.15,25,65,0,X,51,079372003257,40,-5.816417,-35.19975,G,2023-10-24,2004-12-09,,5e0a09d1c6cf3,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,684917700,Avenida Theodorico Guilherme,-,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,180,FB,Greenfield,não,760,056001603518,16.15,25,65,0,X,51,079372003257,40,-5.816417,-35.19975,G,2023-10-24,2004-12-09,,5e0a09d1c8145,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,684917700,Avenida Theodorico Guilherme,-,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,300,FB,Greenfield,não,760,056001603518,16.15,25,65,-1,X,51,048811903257,40,-5.816417,-35.19975,G,2023-10-24,2004-12-09,,5e0a09d1c87bb,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,431377618,Rua Afranio Peixoto,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,345,FB,Greenfield,não,760,116672103257,25,25,65,0,X,40,116672103257,200,-5.792222,-35.209444,G,2023-10-24,1999-11-16,,5e0a524d4b907,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,431377618,Rua Afranio Peixoto,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,120,FB,Greenfield,não,760,116672103257,25,25,65,-2,X,40,116672103257,200,-5.792222,-35.209444,G,2023-10-24,1999-11-16,,5e0a524d7321c,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,431377618,Rua Afranio Peixoto,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,230,FB,Greenfield,não,760,116672103257,25,25,65,-1,X,40,116672103257,200,-5.792222,-35.209444,G,2023-10-24,1999-11-16,,5e0a524d73a2d,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,684171481,Rua Severina Ferreira De Medeiros,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,0,FB,Greenfield,não,760,116672103257,25,25,65,-2,X,43.8,116672103257,200,-5.869194,-35.19,G,2023-10-24,2004-01-14,,5e0a524d8e2c4,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,684171481,Rua Severina Ferreira De Medeiros,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,150,FB,Greenfield,não,760,116672103257,25,25,65,-1,X,43.8,116672103257,200,-5.869194,-35.19,G,2023-10-24,2004-01-14,,5e0a524d8ecdb,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,684171481,Rua Severina Ferreira De Medeiros,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,270,FB,Greenfield,não,760,116672103257,25,25,65,-1,X,43.8,116672103257,200,-5.869194,-35.19,G,2023-10-24,2004-01-14,,5e0a524d8f71b,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,684917700,Avenida Theodorico Guilherme,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,40,FB,Greenfield,não,760,116672103257,25,25,65,0,X,51,116672103257,200,-5.816417,-35.19975,G,2023-10-24,2004-12-09,,5e0a524dc733c,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,684917700,Avenida Theodorico Guilherme,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,180,FB,Greenfield,não,760,116672103257,25,25,65,0,X,51,116672103257,200,-5.816417,-35.19975,G,2023-10-24,2004-12-09,,5e0a524dc7b44,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,684917700,Avenida Theodorico Guilherme,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,300,FB,Greenfield,não,760,116672103257,25,25,65,-1,X,51,116672103257,200,-5.816417,-35.19975,G,2023-10-24,2004-12-09,,5e0a524dc8432,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,692693513,Avenida Miguel Castro,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,0,FB,Rooftop,não,760,116652103257,25,25,65,-7,X,40,116652103257,200,-5.82028,-35.21611,G,2023-10-24,2010-08-26,,5e21ed2d3a7d6,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,692693513,Avenida Miguel Castro,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,100,FB,Rooftop,não,760,116652103257,25,25,65,-7,X,40,116652103257,200,-5.82028,-35.21611,G,2023-10-24,2010-08-26,,5e21ed2d3afa2,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,692693513,Avenida Miguel Castro,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,260,FB,Rooftop,não,760,116652103257,25,25,65,-7,X,40,116652103257,200,-5.82028,-35.21611,G,2023-10-24,2010-08-26,,5e21ed2d3b63d,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,683585746,Avenida Senador Salgado Filho,-,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,0,FB,Greenfield,não,760,056001603518,16.15,25,65,-5,X,44,079372003257,40,-5.809472,-35.202528,G,2023-10-24,2003-09-09,,5eea879c6f579,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,683585746,Avenida Senador Salgado Filho,-,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,140,FB,Greenfield,não,760,056001603518,16.15,25,65,-2,X,48,079372003257,40,-5.809472,-35.202528,G,2023-10-24,2003-09-09,,5eea879c6fb08,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,683585746,Avenida Senador Salgado Filho,-,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,250,FB,Greenfield,não,760,056001603518,16.15,25,65,-1,X,44,048811903257,40,-5.809472,-35.202528,G,2023-10-24,2003-09-09,,5eea879c7010d,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,6558003,Avenida Engenheiro Roberto Freire,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,10,FB,,,760,116652103257,25,25,65,-5,X,47,116652103257,200,-5.871944,-35.180861,G,2023-10-26,2001-03-05,,231cd2581ec5cc47,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,6558003,Avenida Engenheiro Roberto Freire,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,140,FB,,,760,116652103257,25,25,65,-2,X,47,116652103257,200,-5.871944,-35.180861,G,2023-10-26,2001-03-05,,231cd2581ec5cc48,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,6558003,Avenida Engenheiro Roberto Freire,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,260,FB,,,760,116652103257,25,25,65,-2,X,47,116652103257,200,-5.871944,-35.180861,G,2023-10-26,2001-03-05,,231cd2581ec5cc49,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,949540,Rua Desembargador Túlio Bezerra De Melo,-,RN,2408102,10M0G7W,NR,SA-NSA,,778,723,0,FB,,,760,064101600762,13.42,28,65.2,-2,X,42,079372003257,40,-5.839722,-35.214444,G,2023-10-24,2001-09-24,,fb089248676e65bb,2023-12-31,,
